[09:52:27] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:27] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:28] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:28] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:29] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:29] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:30] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:30] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:31] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:31] currSec: 0.000000, totSec: 0.000000, status: 0, state: 0
[09:52:32] currSec: 0.520998, totSec: 0.000000, status: 1, state: 0
[09:52:33] currSec: 1.264036, totSec: 0.000000, status: 1, state: 0
[09:52:33] currSec: 1.635556, totSec: 0.000000, status: 1, state: 0
